model,mae,mse,r2_score,roi,class
xception++,1.5405481656392417,17.096090193148008,-180.6955998369729,False,False
vgg-ba,1.1606141726175945,0.0731360171634106,-0.3030734327267066,False,False
vgg-ba,0.6703916390736898,0.025253997977685044,-0.5702503274816461,True,False
xception++,0.5578150351842245,0.01640650257468224,-0.3618414540006789,True,False
pre xception++,0.6392149925231934,0.022090991338094074,-1.055396173159958,True,False
xception+gender,0.5517652829488119,0.017634761830170948,0.7666277368285295,True,False
pre-xception+gender,0.6009509166081747,0.020431675016880042,0.7296144287287993,True,False
tjnet-gender2,0.4075345993041992,0.009509279703100523,0.8741575430629456,True,False
tjnet_kaggle.h5,0.9291458129882812,0.01126478984951973,0.8700702230499666,True,False
resnet_roi.h5,0.5641758441925049,0.016661667575438816,0.7795053464071313,True,False
tjnet_roi.h5,0.4181406497955322,0.010136021922032038,0.8658634600763864,True,False
resnet50v2_roi.h5,0.6310209035873413,0.02350192268689473,0.6889838036964602,True,False
resnet151v2_roi.h5,0.5607598622639974,0.018355447798967358,0.7570904719008842,True,False
resnet101v2_roi.h5,0.592493494351705,0.01866926873723666,0.7529374778695809,True,False
resnet101_roi.h5,0.5144990682601929,0.015188770989576975,0.798997123042773,True,False
resnet152_roi.h5,0.5673816601435343,0.01814159502585729,0.7599204831772592,True,False
